sentence_id	sentence	sentence_domain	source
00b226081be54d594745014d87e3a44b404338dedbde4c623b6155f8f08c1694	חַֽדַל־בְּ֭נִי לִשְׁמֹ֣עַ מוּסָ֑ר לִ֝שְׁג֗וֹת מֵֽאִמְרֵי־דָֽעַת׃		book of proverbs
00da338d4fb8e63f501e2222ea024f306718ab77867130eb020443fca37a0323	הוא מכור לסמים קשים. קוק לא להרואין		ציטוט עצמי
0131e72ae3a0a69f3e114eb70938009854260a2d482f501777d73ccf5a29a3f1	זה קרוב ל=חמישה עשר מיליארד שקל שלוקחים העובדים הזרים		???? ????? - https://fs.knesset.gov.il//16/Plenum/16_ptm_129219.doc
0180e696f3edd92240d9f37f14a7b708bea51334e0ae9116f63e75078216a789	חֶ֣סֶד וֶ֭אֱמֶת יִצְּרוּ־מֶ֑לֶךְ וְסָעַ֖ד בַּחֶ֣סֶד כִּסְאֽוֹ׃		book of proverbs
0184360b66c16b2490b8b70e3b0e55e6666757cb7f937a1a6d37d0c9dd122cf6	אִוֶּ֣לֶת אָ֭דָם תְּסַלֵּ֣ף דַּרְכּ֑וֹ וְעַל־יְ֝הוָ֗ה יִזְעַ֥ף לִבּֽוֹ׃		book of proverbs
01c866650253947fc8e018d17d845739d0054eab47df79015350d808b8127c04	במשך העשור האחרון הוא ירד ל=שבע מאות וחמישים שקל		???? ????? - https://fs.knesset.gov.il//16/Plenum/16_ptm_129219.doc
02374ca0513ee8b026001bcb8d04f690da9ecf7e8f303ac16da6fe9c6a732065	יֵ֤שׁ דֶּ֣רֶךְ יָ֭שָׁר לִפְנֵי־אִ֑ישׁ וְ֝אַחֲרִיתָ֗הּ דַּרְכֵי־מָֽוֶת׃		book of proverbs
026253d16554d241dce0668d5315cff5b0513e3e117a87e06c286158e425513e	גֹּ֣ל אֶל־יְהוָ֣ה מַעֲשֶׂ֑יךָ וְ֝יִכֹּ֗נוּ מַחְשְׁבֹתֶֽיךָ׃		book of proverbs
02bc8d131096fedcfec3e9801252e6b8a8a89d52ae4307e86da2fcace1a0c33c	תֻּמַּ֣ת יְשָׁרִ֣ים תַּנְחֵ֑ם וְסֶ֖לֶף בּוֹגְדִ֣ים ׳וְשָׁדָּם׳ ״יְשָׁדֵּֽם׃״		book of proverbs
02c2dd6884419e4b7ce383bbf77759614649d3c94269281363c2a98d7809ab3d	תּוֹחֶ֣לֶת צַדִּיקִ֣ים שִׂמְחָ֑ה וְתִקְוַ֖ת רְשָׁעִ֣ים תֹּאבֵֽד׃		book of proverbs
02c57815a9af1a094caa951e54fcfa7dd1ad5724ae04211b87d46cfdc9c8d930	בְּפֶ֣שַֽׁע אֶ֭רֶץ רַבִּ֣ים שָׂרֶ֑יהָ וּבְאָדָ֥ם מֵבִ֥ין יֹ֝דֵ֗עַ כֵּ֣ן יַאֲרִֽיךְ׃		book of proverbs
02f61da4295b3415885a7186e0a27d881f87b512b2dcfded10b8f5b3cc75aa7c	מאבק שאנו בשיאו ב=ארבעים ושמונה השעות האחרונות		???? ????? - https://fs.knesset.gov.il//16/Plenum/16_ptm_129219.doc
